time	value	nobs
2000-02-02	2.212227021276596	47
2000-02-03	2.2610497872340427	47
2000-02-04	2.1759231914893618	47
2000-02-05	1.6773873829787236	47
2000-02-06	1.7621410638297874	47
2000-02-07	2.1287995744680854	47
2000-02-08	2.519551489361702	47
2000-02-09	2.1583559574468083	47
2000-02-10	2.1922295744680853	47
2000-02-11	2.2590099999999995	47
2000-02-12	1.5038627659574468	47
2000-02-13	1.7307957446808513	47
2000-02-14	2.2388982978723404	47
2000-02-15	2.610709787234042	47
2000-02-16	1.9729542553191495	47
2000-02-17	1.4979151063829792	47
2000-02-18	2.0247489361702122	47
2000-02-19	2.248201914893618	47
2000-02-20	1.6715514893617018	47
2000-02-21	1.4930914680851068	47
2000-02-22	1.4129700000000003	47
2000-02-23	1.7932595531914892	47
2000-02-24	2.3322227659574466	47
2000-02-25	2.2520108510638295	47
2000-02-26	2.2128823404255322	47
2000-02-27	1.9589397872340426	47
2000-02-28	2.072572765957447	47
2000-02-29	2.0171276595744687	47
2000-03-01	1.9868961702127659	47
2000-03-02	1.7372278723404264	47
2000-03-03	1.97281670212766	47
2000-03-04	2.2109040425531914	47
2000-03-05	1.8054012765957446	47
2000-03-06	1.5931391702127655	47
2000-03-07	2.021372978723404	47
2000-03-08	2.6765436170212764	47
2000-03-09	3.631206595744681	47
2000-03-10	3.3938270212765964	47
2000-03-11	3.3274874468085107	47
2000-03-12	2.5966402127659576	47
2000-03-13	2.3929261702127658	47
2000-03-14	2.820663404255319	47
2000-03-15	2.4865927659574463	47
2000-03-16	2.3376336170212766	47
2000-03-17	2.588307659574468	47
2000-03-18	2.4822193617021284	47
2000-03-19	1.924018936170213	47
2000-03-20	1.5697302127659578	47
2000-03-21	1.792369787234043	47
2000-03-22	1.8596589361702134	47
2000-03-23	1.9946993617021278	47
2000-03-24	2.532831489361702	47
2000-03-25	2.027235957446808	47
2000-03-26	1.9590825531914895	47
2000-03-27	1.7227217021276595	47
2000-03-28	1.7355970212765963	47
2000-03-29	1.593562340425532	47
2000-03-30	1.8307191489361703	47
2000-03-31	1.759913404255319	47
2000-04-01	2.1192655319148943	47
2000-04-02	1.9924874468085114	47
2000-04-03	2.2143308510638295	47
2000-04-04	2.3501434042553195	47
2000-04-05	2.0350663829787243	47
2000-04-06	1.935392765957447	47
