time	value	nobs
2013-01-01	1.429258085106383	47
2013-01-02	1.8211997872340426	47
2013-01-03	1.9246059574468084	47
2013-01-04	1.8743348936170212	47
2013-01-05	2.157915106382979	47
2013-01-06	2.3480408510638298	47
2013-01-07	2.330898297872341	47
2013-01-08	2.3080491489361705	47
2013-01-09	2.721813829787234	47
2013-01-10	2.904074042553192	47
2013-01-11	2.7355444680851067	47
2013-01-12	2.0956257446808513	47
2013-01-13	1.964573404255319	47
2013-01-14	1.949916382978723	47
2013-01-15	1.711806382978723	47
2013-01-16	1.7613293617021275	47
2013-01-17	1.5825187234042553	47
2013-01-18	1.9636223404255322	47
2013-01-19	1.961063829787234	47
2013-01-20	2.9672676595744694	47
2013-01-21	2.5128278723404254	47
2013-01-23	1.523163404255319	47
2013-01-24	1.35255085106383	47
2013-01-25	1.7231506382978723	47
2013-01-26	1.8312204255319144	47
2013-01-27	2.176930425531914	47
2013-01-28	2.601665531914894	47
2013-01-29	3.166416170212766	47
2013-01-30	4.29830489361702	47
2013-01-31	4.827814255319149	47
2013-02-01	5.556653191489361	47
2013-02-02	5.12455255319149	47
2013-02-03	4.32708085106383	47
2013-02-04	3.6945044680851056	47
2013-02-05	3.9633700000000007	47
2013-02-06	4.630142978723404	47
2013-02-07	3.7485636170212766	47
2013-02-08	3.440780425531915	47
2013-02-09	3.0842548936170213	47
2013-02-10	2.7331329787234044	47
2013-02-11	2.677668936170213	47
2013-02-12	2.9792451063829786	47
2013-02-13	3.2945785106382983	47
2013-02-14	3.965277872340425	47
2013-02-15	4.373599574468086	47
2013-02-16	4.7403306382978725	47
2013-02-17	4.820730425531914	47
2013-02-18	4.620231489361704	47
2013-02-19	4.479500638297872	47
2013-02-20	4.371820638297872	47
2013-02-21	4.35300170212766	47
2013-02-22	3.801187872340426	47
2013-02-23	3.190047659574468	47
2013-02-24	2.9446334042553186	47
2013-02-25	2.8040504255319147	47
2013-02-26	3.0106272340425537	47
2013-02-27	2.6400404255319154	47
2013-02-28	2.52209170212766	47
2013-03-01	2.2982538297872344	47
2013-03-02	2.8920185106382976	47
2013-03-03	3.1532174468085112	47
2013-03-04	3.7367508510638303	47
2013-03-05	4.327868936170213	47
2013-03-06	5.062355744680851	47
2013-03-07	6.0523289361702135	47
2013-03-08	6.35767404255319	47
2013-03-09	6.295781702127661	47
2013-03-10	6.267960851063829	47
2013-03-11	5.2680702127659575	47
2013-03-12	5.034158723404255	47
2013-03-13	4.834652978723405	47
2013-03-14	4.366011276595744	47
2013-03-15	3.9970219148936175	47
2013-03-16	3.815085319148935	47
2013-03-17	3.9184910638297863	47
2013-03-18	4.807742765957447	47
2013-03-19	4.926380851063829	47
2013-03-20	4.0948919148936165	47
2013-03-21	4.607241276595745	47
2013-03-22	4.158147446808511	47
2013-03-23	4.155813617021276	47
2013-03-24	4.02554425531915	47
2013-03-25	3.421847659574469	47
2013-03-26	2.544684255319149	47
2013-03-27	2.92506914893617	47
2013-03-28	3.5753942553191482	47
2013-03-29	4.098057659574468	47
2013-03-30	4.239962127659576	47
2013-03-31	4.311738936170213	47
2013-04-01	4.778300000000001	47
2013-04-02	4.27239510638298	47
2013-04-03	4.4321534042553195	47
2013-04-04	4.107937446808511	47
2013-04-05	3.978951063829787	47
2013-04-06	4.2793227659574455	47
2013-04-07	4.4371417021276605	47
2013-04-08	4.127334255319147	47
2013-04-11	5.318409148936171	47
2013-04-12	5.987785531914891	47
2013-04-13	6.04011063829787	47
2013-04-14	5.8596968085106385	47
2013-04-15	5.96964255319149	47
2013-04-16	6.057411702127658	47
2013-04-17	6.693424893617023	47
2013-04-18	6.471621276595744	47
2013-04-19	6.378980638297873	47
2013-04-20	5.787912978723405	47
2013-04-21	5.408650425531915	47
2013-04-22	5.302645957446809	47
2013-04-23	5.719782765957447	47
2013-04-24	6.403498723404255	47
2013-04-25	7.186426382978725	47
2013-04-26	7.155307659574469	47
2013-04-27	6.2985161702127686	47
2013-04-28	6.742958297872339	47
2013-04-29	7.781932765957448	47
2013-04-30	8.481426382978723	47
2013-05-01	8.488169361702125	47
2013-05-02	8.028674468085105	47
2013-05-03	7.793672127659574	47
2013-05-04	8.060416170212765	47
2013-05-05	8.019698297872342	47
2013-05-06	8.07185914893617	47
2013-05-07	8.42286744680851	47
2013-05-08	8.220492127659575	47
2013-05-09	8.455670425531913	47
2013-05-10	8.573071702127658	47
2013-05-11	8.293335957446809	47
2013-05-12	8.306335744680853	47
2013-05-13	7.984057234042552	47
2013-05-14	8.04046170212766	47
2013-05-15	7.949438297872341	47
2013-05-16	7.823773617021278	47
2013-05-17	7.7988055319148915	47
2013-05-18	7.685708723404252	47
2013-05-19	7.590816808510637	47
2013-05-20	7.606832765957447	47
2013-05-21	6.9720395744680825	47
2013-05-22	7.021753829787234	47
2013-05-23	7.350398723404256	47
2013-05-24	6.773224255319151	47
2013-05-25	6.117067659574468	47
2013-05-26	6.446118936170212	47
2013-05-27	7.356448510638299	47
2013-05-28	7.116009148936169	47
2013-05-29	7.194043617021276	47
2013-05-30	7.136347021276596	47
2013-05-31	7.353605957446809	47
2013-06-01	7.3055893617021255	47
2013-06-02	7.387576170212766	47
2013-06-03	7.191422978723405	47
2013-06-04	6.88855340425532	47
2013-06-05	7.22956425531915	47
2013-06-06	7.149254255319149	47
2013-06-07	7.304101276595743	47
2013-06-08	7.227122127659574	47
2013-06-09	6.482564893617022	47
2013-06-10	6.493124893617021	47
2013-06-11	6.815928085106383	47
2013-06-12	7.033067446808509	47
