time	value	nobs
2006-04-29	3.1456542553191493	47
2006-04-30	2.8585891489361694	47
2006-05-01	3.1719638297872335	47
2006-05-02	3.3665278723404244	47
2006-05-03	3.332946382978723	47
2006-05-04	3.3178	47
2006-05-05	3.3908065957446802	47
2006-05-06	3.4460368085106388	47
2006-05-07	3.7212431914893616	47
2006-05-08	3.8866663829787234	47
2006-05-09	4.558225531914894	47
2006-05-10	4.851815531914893	47
2006-05-11	4.774999361702128	47
2006-05-12	5.63932914893617	47
2006-05-13	5.8379872340425525	47
2006-05-14	5.911251276595745	47
2006-05-15	6.859773617021277	47
2006-05-16	7.464737872340426	47
2006-05-17	7.120184255319148	47
2006-05-18	7.171643191489361	47
2006-05-19	6.988485531914892	47
2006-05-20	6.490175106382979	47
2006-05-21	6.167055531914895	47
2006-05-22	6.679224680851064	47
2006-05-23	5.891592978723405	47
2006-05-24	5.264532340425532	47
2006-05-25	5.055825531914894	47
2006-05-26	4.913429361702127	47
2006-05-27	5.005262340425532	47
2006-05-28	4.750714468085106	47
2006-05-29	3.9544948936170217	47
2006-05-30	3.359853191489362	47
2006-05-31	3.320775744680851	47
2006-06-01	3.0690857446808515	47
2006-06-02	3.2366987234042552	47
2006-06-03	3.3864602127659578	47
2006-06-04	3.290267234042552	47
2006-06-05	3.420330425531916	47
2006-06-06	3.4601925531914897	47
2006-06-07	3.549868723404255	47
2006-06-08	3.9522617021276605	47
2006-06-09	4.564553829787233	47
2006-06-10	5.084037234042555	47
2006-06-11	5.36090170212766	47
2006-06-12	6.237583404255321	47
2006-06-13	6.789236808510637	47
2006-06-14	7.331088936170214	47
2006-06-15	7.614993829787237	47
2006-06-16	8.095869787234044	47
2006-06-17	7.881627659574466	47
2006-06-18	7.7175076595744665	47
2006-06-19	8.42183255319149	47
2006-06-20	8.590332127659574	47
2006-06-21	8.944031702127658	47
2006-06-22	8.269080851063828	47
2006-06-23	7.690019361702127	47
2006-06-24	7.755082553191489	47
2006-06-25	7.69747744680851	47
2006-06-26	7.916137446808512	47
2006-06-27	7.060207234042553	47
2006-06-28	6.235046808510639	47
2006-06-29	5.966371489361703	47
2006-06-30	5.483338510638298	47
2006-07-01	5.835314255319149	47
2006-07-17	6.874786382978724	47
2006-07-18	7.411268297872338	47
2006-07-19	7.938368936170214	47
2006-07-20	8.25068234042553	47
2006-07-21	8.494638936170212	47
2006-07-22	8.791828085106383	47
2006-07-23	8.508461489361702	47
2006-07-24	8.497988085106384	47
2006-07-25	8.767791063829785	47
2006-07-26	8.91407489361702	47
2006-07-27	9.071549361702127	47
2006-07-28	9.066947234042553	47
2006-07-29	8.274793829787233	47
2006-07-30	8.065704042553193	47
2006-07-31	7.554322553191488	47
2006-08-01	6.727437872340427	47
2006-08-02	6.2918025531914905	47
2006-08-03	5.392084468085108	47
2006-08-04	5.348598723404255	47
2006-08-05	5.366405531914893	47
2006-08-06	5.417167659574469	47
2006-08-07	5.322522978723405	47
2006-08-08	5.4533565957446815	47
2006-08-09	5.076707446808511	47
2006-08-10	4.919504042553191	47
2006-08-11	4.675966808510639	47
2006-08-12	4.310682340425532	47
2006-08-13	4.753628936170214	47
2006-08-14	4.553397872340426	47
2006-08-15	4.738944042553192	47
2006-08-16	4.95473085106383	47
2006-08-17	5.614337021276596	47
2006-08-18	5.4283427659574475	47
2006-08-19	5.441100425531915	47
2006-08-20	5.472661914893616	47
2006-08-21	5.138857021276596	47
2006-08-22	4.861505957446808	47
2006-08-23	4.891132765957447	47
2006-08-24	4.729941914893617	47
2006-08-25	4.7063819148936155	47
2006-08-26	4.483411276595745	47
2006-08-27	4.250523829787236	47
2006-08-28	4.136512978723405	47
2006-08-29	3.789061489361703	47
2006-08-30	3.6882870212765946	47
2006-08-31	3.9616657446808508	47
2006-09-01	4.217651702127658	47
2006-09-02	4.64641425531915	47
2006-09-03	5.147935319148937	47
2006-09-04	5.820571702127659	47
2006-09-05	5.623506808510637	47
2006-09-06	5.561351914893617	47
2006-09-07	6.0424721276595745	47
2006-09-08	5.140089787234043	47
2006-09-09	4.449534042553192	47
2006-09-10	4.433890638297872	47
