time	value	nobs
2003-01-01	11.340425531914896	47
2003-01-02	11.151063829787239	47
2003-01-04	11.091489361702127	47
2003-01-05	10.929787234042546	47
2003-01-06	10.763829787234043	47
2003-01-07	10.81914893617021	47
2003-01-08	10.872340425531913	47
2003-01-09	11.085106382978724	47
2003-01-10	11.159574468085104	47
2003-01-11	11.22127659574468	47
2003-01-12	11.376595744680852	47
2003-01-13	11.608510638297872	47
2003-01-14	11.38085106382979	47
2003-01-15	10.902127659574468	47
2003-01-16	11.010638297872342	47
2003-01-17	11.280851063829788	47
2003-01-18	11.057446808510639	47
2003-01-19	10.931914893617012	47
2003-01-21	10.738297872340423	47
2003-01-22	10.755319148936174	47
2003-01-23	10.851063829787229	47
2003-01-24	10.808510638297877	47
2003-01-25	10.691489361702123	47
2003-01-26	10.774468085106378	47
2003-01-27	10.987234042553194	47
2003-01-28	10.94893617021276	47
2003-01-29	10.836170212765962	47
2003-01-30	10.744680851063832	47
2003-02-01	10.714893617021273	47
2003-02-02	10.659574468085102	47
2003-02-03	10.640425531914895	47
2003-02-04	10.614893617021279	47
2003-02-05	10.668085106382975	47
2003-02-06	10.731914893617024	47
2003-02-07	10.953191489361705	47
2003-02-08	11.195744680851066	47
2003-02-09	11.376595744680845	47
2003-02-10	11.240425531914893	47
2003-02-11	10.823404255319145	47
2003-02-12	10.495744680851065	47
2003-02-13	10.559574468085112	47
2003-02-14	10.729787234042556	47
2003-02-15	10.859574468085105	47
2003-02-16	11.125531914893614	47
2003-02-17	11.151063829787235	47
2003-02-18	11.163829787234041	47
2003-02-19	11.240425531914894	47
2003-02-20	11.17659574468085	47
2003-02-21	11.236170212765957	47
2003-02-23	11.199999999999998	47
2003-02-24	11.240425531914894	47
2003-02-25	11.236170212765957	47
2003-02-26	11.389361702127653	47
2003-02-27	11.153191489361708	47
2003-02-28	11.153191489361701	47
2003-03-01	11.370212765957444	47
2003-03-02	11.408510638297866	47
2003-03-05	11.327659574468088	47
2003-03-06	11.248936170212765	47
2003-03-07	11.325531914893613	47
2003-03-08	11.355319148936168	47
2003-03-09	11.225531914893615	47
2003-03-10	11.155319148936169	47
2003-03-11	11.159574468085104	47
2003-03-12	11.344680851063826	47
2003-03-13	11.614893617021275	47
2003-03-14	11.78936170212766	47
2003-03-17	11.84042553191489	47
2003-03-19	11.855319148936166	47
2003-03-20	11.92127659574468	47
2003-03-21	12.087234042553197	47
2003-03-22	12.317021276595742	47
2003-03-23	13.948936170212766	47
2003-03-24	17.534042553191487	47
2003-03-25	19.53103448275862	29
2003-03-27	36.22380952380953	21
2003-03-28	35.385106382978734	47
2003-03-29	36.4723404255319	47
2003-03-30	37.027659574468096	47
2003-03-31	37.31914893617023	47
2003-04-01	37.26595744680854	47
2003-04-02	37.33829787234042	47
2003-04-03	37.580851063829805	47
2003-04-04	38.57021276595744	47
2003-04-05	38.217021276595744	47
2003-04-06	37.37872340425531	47
2003-04-07	37.07234042553191	47
2003-04-08	36.4936170212766	47
2003-04-09	36.33191489361702	47
2003-04-10	35.70638297872341	47
2003-04-11	35.9936170212766	47
2003-04-12	37.62553191489362	47
2003-04-13	38.227659574468085	47
2003-04-14	37.25319148936169	47
2003-04-15	36.73191489361702	47
2003-04-16	36.22127659574468	47
2003-04-17	35.67234042553191	47
2003-04-18	37.32765957446809	47
2003-04-19	36.740425531914894	47
2003-04-20	36.3936170212766	47
2003-04-21	36.02127659574468	47
2003-04-22	35.32553191489361	47
2003-04-23	35.17659574468085	47
2003-04-24	35.017021276595734	47
2003-04-25	34.861702127659576	47
2003-04-26	34.651063829787226	47
2003-04-27	34.80851063829788	47
2003-04-28	36.47446808510639	47
2003-04-29	38.234042553191486	47
2003-04-30	35.725531914893615	47
2003-05-01	35.44680851063829	47
2003-05-02	35.351063829787236	47
2003-05-03	35.07659574468084	47
2003-05-04	34.85957446808511	47
2003-05-05	34.45106382978724	47
2003-05-06	34.278723404255324	47
2003-05-07	33.85744680851063	47
2003-05-08	33.35106382978724	47
2003-05-09	33.02553191489361	47
2003-05-10	32.79574468085106	47
2003-05-11	32.448936170212775	47
2003-05-12	32.08085106382979	47
2003-05-13	31.608510638297876	47
2003-05-14	31.082978723404267	47
2003-05-15	30.49361702127659	47
2003-05-16	30.97021276595744	47
2003-05-17	31.257446808510636	47
2003-05-18	32.489361702127646	47
2003-05-19	34.40638297872341	47
2003-05-20	33.314893617021276	47
2003-05-21	32.06170212765958	47
2003-05-22	30.427659574468084	47
2003-05-23	28.73617021276596	47
2003-05-24	27.140425531914886	47
2003-05-25	25.912765957446815	47
2003-05-26	24.948936170212757	47
2003-05-27	24.48936170212766	47
2003-05-28	23.765957446808514	47
2003-05-29	23.33829787234042	47
2003-05-30	23.4468085106383	47
2003-05-31	22.58085106382978	47
2003-06-01	21.723404255319146	47
2003-06-02	21.02553191489361	47
2003-06-03	20.45106382978723	47
2003-06-04	19.874468085106397	47
2003-06-05	19.265957446808514	47
2003-06-06	18.736170212765966	47
2003-06-07	18.476595744680843	47
2003-06-08	20.627659574468094	47
2003-06-09	23.806382978723416	47
2003-06-10	22.270212765957442	47
2003-06-11	21.668085106382975	47
2003-06-12	32.87234042553192	47
2003-06-13	35.47446808510639	47
2003-06-14	32.95531914893617	47
2003-06-15	30.46170212765958	47
2003-06-16	27.544680851063834	47
2003-06-17	24.253191489361708	47
2003-06-18	22.25106382978725	47
2003-06-19	20.942553191489367	47
2003-06-20	19.80638297872341	47
2003-06-21	19.187234042553182	47
2003-06-22	18.5404255319149	47
2003-06-23	17.9531914893617	47
2003-06-24	21.506382978723405	47
2003-06-25	30.317021276595735	47
2003-06-26	27.52127659574469	47
2003-06-27	26.361702127659566	47
2003-06-28	35.04042553191489	47
2003-06-29	38.49148936170213	47
2003-06-30	36.33191489361702	47
2003-07-01	32.0127659574468	47
2003-07-02	27.40425531914894	47
2003-07-03	26.051063829787243	47
2003-07-04	29.925531914893618	47
2003-07-05	37.38085106382979	47
2003-07-06	34.87872340425531	47
2003-07-07	31.946808510638288	47
2003-07-08	39.12553191489361	47
