time	value	nobs
2005-09-10	47.40123404255319	47
2005-09-11	47.97261702127659	47
2005-09-12	48.18078723404255	47
2005-09-13	45.78227659574468	47
2005-09-14	44.216404255319155	47
2005-09-15	44.47865957446808	47
2005-09-16	44.359042553191486	47
2005-09-17	52.47708510638299	47
2005-09-18	49.6194680851064	47
2005-09-19	47.17980851063829	47
2005-09-20	48.618063829787246	47
2005-09-21	50.05495744680852	47
2005-09-22	48.67065957446807	47
2005-09-23	47.02359574468086	47
2005-09-24	44.711893617021275	47
2005-09-25	41.969042553191485	47
2005-09-26	39.96587234042552	47
2005-09-27	39.58172340425532	47
2005-09-28	39.06014893617021	47
2005-09-29	40.62929787234043	47
2005-09-30	49.78210638297873	47
2005-10-01	50.49412765957446	47
2005-10-02	54.042191489361706	47
2005-10-03	52.887021276595746	47
2005-10-04	52.443957446808504	47
2005-10-05	51.56093617021277	47
2005-10-06	50.79512765957448	47
2005-10-07	50.05723404255318	47
2005-10-08	49.16251063829787	47
2005-10-09	48.054319148936166	47
2005-10-10	46.63363829787234	47
2005-10-11	45.17568085106383	47
2005-10-12	43.8826170212766	47
2005-10-13	42.37151063829787	47
2005-10-14	41.425404255319144	47
2005-10-15	40.83944680851063	47
2005-10-16	39.980617021276586	47
2005-10-17	39.578	47
2005-10-18	39.51142553191489	47
2005-10-19	39.42163829787235	47
2005-10-20	39.153744680851055	47
2005-10-21	38.55595744680851	47
2005-10-22	37.92531914893617	47
2005-10-23	44.651808510638304	47
2005-10-24	49.26372340425531	47
2005-10-25	47.8368085106383	47
2005-10-26	46.079638297872336	47
2005-10-27	44.4133829787234	47
2005-10-28	43.78534042553191	47
2005-10-29	42.39948936170212	47
2005-10-30	41.31872340425532	47
2005-10-31	40.2456170212766	47
2005-11-01	39.984808510638295	47
2005-11-02	40.881574468085105	47
2005-11-03	41.39274468085107	47
2005-11-04	41.5078085106383	47
2005-11-05	51.157106382978725	47
2005-11-06	49.92740425531915	47
2005-11-07	49.37329787234044	47
2005-11-08	48.798255319148936	47
2005-11-09	47.82782978723404	47
2005-11-10	47.279297872340436	47
2005-11-11	46.96027659574467	47
2005-11-12	46.63882978723404	47
